,Date,Year,Month,Global Temperature Anomaly,Nino 1+2 SST,Nino 1+2 SST Anomaly,Nino 3 SST,Nino 3 SST Anomaly,Nino 3.4 SST,Nino 3.4 SST Anomaly,Nino 4 SST,Nino 4 SST Anomaly,   TNI,SOI,  OLR,   PNA, NOI,ENSO Precipitation Index,BEST,Season (2-Month),MEI.ext,MEI.v2,Season (3-Month),  ONI,RONI,Season (12-Month),ENSO Phase-Intensity
90,7/1/1957,1957,JUL,0.02,23.82,1.86,26.88,1.08,28.17,0.87,28.34,-0.55,1.606,0.4,,-0.11,0.644,,0.63,JJ,1.628,,JJA,1.25,1.32,1957-1958,SE
91,8/1/1957,1957,AUG,0.15,22.20,1.20,26.00,0.88,27.69,0.84,28.75,-0.04,1.413,-0.8,,-0.99,1.251,,1.06,JA,1.551,,JAS,1.32,1.23,1957-1958,SE
92,9/1/1957,1957,SEP,0.08,21.64,0.91,25.55,0.65,27.44,0.72,28.65,-0.11,0.984,-1.5,,-0.22,-3.812,,0.90,AS,1.436,,ASO,1.33,1.22,1957-1958,SE
93,10/1/1957,1957,OCT,0.01,21.64,0.63,25.60,0.61,27.42,0.70,28.78,0.02,0.631,0.1,,0.46,-3.018,,0.50,SO,1.152,,SON,1.39,1.23,1957-1958,SE
94,11/1/1957,1957,NOV,0.08,22.21,0.56,26.01,0.91,27.62,0.92,28.76,0.07,0.137,-1.6,,0.49,1.107,,1.18,ON,1.157,,OND,1.53,1.46,1957-1958,SE
95,12/1/1957,1957,DEC,0.15,23.47,0.66,26.48,1.25,27.90,1.30,28.88,0.34,-0.270,-0.5,,-0.73,-0.040,,0.85,ND,1.312,,NDJ,1.74,1.85,1957-1958,SE
96,1/1/1958,1958,JAN,0.39,24.70,0.14,26.96,1.30,28.33,1.78,29.05,0.73,-0.639,-3.1,,0.62,-2.567,,1.63,DJ,1.478,,DJF,1.81,2.31,1958-1959,WE
97,2/1/1958,1958,FEB,0.22,26.36,0.26,27.44,1.03,28.24,1.49,29.12,0.93,-0.523,-0.8,,0.36,-10.780,,1.19,JF,1.549,,JFM,1.66,1.90,1958-1959,WE
98,3/1/1958,1958,MAR,0.08,26.96,0.48,27.72,0.52,28.27,0.98,28.99,0.67,-0.565,0.4,,0.18,-5.996,,0.90,FM,1.505,,FMA,1.27,1.43,1958-1959,WE
99,4/1/1958,1958,APR,0.01,26.25,0.71,27.81,0.23,28.27,0.46,28.90,0.27,-0.258,0.6,,0.31,0.264,,0.35,MA,1.380,,MAM,0.93,0.88,1958-1959,WE
100,5/1/1958,1958,MAY,0.06,24.54,0.12,27.29,0.04,28.31,0.38,28.98,0.07,-0.005,-0.8,,0.66,-4.307,,1.15,AM,1.500,,AMJ,0.74,0.90,1958-1959,WE
101,6/1/1958,1958,JUN,-0.09,23.10,-0.02,26.57,-0.05,27.99,0.26,28.99,0.02,-0.042,0.5,,1.48,-0.981,,0.44,MJ,1.602,,MJJ,0.64,0.72,1958-1959,WE
102,7/1/1958,1958,JUL,0.05,22.02,0.06,25.56,-0.24,27.32,0.03,28.83,-0.06,-0.230,0.7,,0.74,-0.842,,0.08,JJ,1.419,,JJA,0.57,0.41,1958-1959,WE
103,8/1/1958,1958,AUG,-0.05,20.59,-0.42,24.91,-0.21,26.85,-0.01,28.65,-0.14,-0.244,1.5,,2.13,1.019,,-0.12,JA,1.020,,JAS,0.43,0.35,1958-1959,WE
104,9/1/1958,1958,SEP,-0.03,20.32,-0.41,24.39,-0.51,26.40,-0.32,28.61,-0.15,-0.337,-0.5,,-0.05,0.491,,0.03,AS,0.604,,ASO,0.39,0.03,1958-1959,WE
105,10/1/1958,1958,OCT,0.04,20.82,-0.19,24.48,-0.50,26.45,-0.27,28.77,0.01,-0.594,0.1,,0.34,-0.190,,0.26,SO,0.424,,SON,0.44,0.15,1958-1959,WE
106,11/1/1958,1958,NOV,0.02,21.28,-0.38,24.89,-0.21,26.75,0.05,28.67,-0.02,-0.503,-0.7,,0.08,1.675,,0.36,ON,0.373,,OND,0.50,0.56,1958-1959,WE
107,12/1/1958,1958,DEC,0.01,22.31,-0.50,24.81,-0.42,26.62,0.02,28.65,0.11,-0.599,-1.0,,0.35,-0.327,,0.57,ND,0.534,,NDJ,0.61,0.45,1958-1959,WE
108,1/1/1959,1959,JAN,0.08,23.69,-0.88,25.58,-0.08,27.07,0.53,28.37,0.05,-0.468,-1.5,,-1.54,-0.619,,0.68,DJ,0.639,,DJF,0.61,1.01,1959-1960,N
109,2/1/1959,1959,FEB,0.07,25.63,-0.47,26.35,-0.06,27.18,0.43,27.99,-0.21,-0.319,-2.3,,-1.23,-2.560,,0.95,JF,0.747,,JFM,0.62,0.85,1959-1960,N
110,3/1/1959,1959,MAR,0.18,26.83,0.34,27.07,-0.13,27.47,0.19,28.00,-0.32,-0.130,2.1,,0.21,5.528,,-0.04,FM,0.860,,FMA,0.52,0.65,1959-1960,N
111,4/1/1959,1959,APR,0.16,25.66,0.12,27.45,-0.13,27.88,0.06,28.45,-0.18,0.102,0.7,,-0.90,-1.337,,0.20,MA,0.748,,MAM,0.33,0.49,1959-1960,N
112,5/1/1959,1959,MAY,0.04,24.02,-0.39,26.84,-0.41,27.70,-0.23,28.66,-0.26,0.094,0.8,,-0.30,1.440,,0.07,AM,0.797,,AMJ,0.20,0.17,1959-1960,N
113,6/1/1959,1959,JUN,0.03,22.50,-0.63,26.07,-0.55,27.37,-0.35,28.52,-0.45,-0.246,-0.2,,1.08,-1.197,,0.11,MJ,0.864,,MJJ,-0.07,0.08,1959-1960,N
114,7/1/1959,1959,JUL,0.03,21.39,-0.57,24.95,-0.86,26.44,-0.86,28.27,-0.63,-0.387,-0.4,,-0.45,-0.252,,0.15,JJ,0.549,,JJA,-0.18,-0.45,1959-1960,N
